1,  99,  16,  17
  2, 145,  67, 144
  3, 131,  50, 130
  4, 139,  58, 138
  5,  40,   2,  41
  6, 103,  40,  41
  7, 104,  39, 103
  8, 172, 171, 132
  9, 105,  37, 101
 10, 106,  36, 105
 11, 107,  35, 106
 12, 108,  34, 107
 13, 109,  33, 108
 14, 110,  32, 109
 15, 234, 223, 206
 16, 112,  31, 110
 17, 156, 141, 140
 18, 114,  28, 102
 19, 115,  27, 114
 20, 116,  26, 115
 21, 117,  25, 116
 22, 118,  24, 117
 23, 149,  63, 148
 24, 120,  23, 118
 25, 121,  22, 120
 26, 122,  21, 121
 27, 123,  19, 100
 28, 157, 145, 144
 29, 197, 150,  73
 30,  45,   3,  46
 31, 134,  45,  46
 32, 199,  45, 134
 33, 203, 200, 125
 34, 198,  41,  42
 35, 153, 111, 152
 36, 173, 127, 153
 37, 158, 129, 128
 38, 159, 129, 158
 39, 160, 130, 159
 40, 132,  49, 131
 41, 133,  48, 132
 42, 203, 199, 134
 43, 154, 136, 135
 44, 161, 136, 154
 45, 162, 137, 161
 46, 137,  60, 136
 47, 163, 138, 162
 48, 140,  57, 139
 49, 238, 230, 210
 50, 169, 142, 141
 51,  70,  69,   6
 52, 143,  69,  70
 53, 204, 202, 143
 54, 165, 145, 157
 55, 146,  66, 145
 56, 147,  65, 146
 57, 166, 149, 148
 58, 148,  64, 147
 59,  74,   1,  16
 60,  99,  74,  16
 61, 197,  74,  99
 62, 151,  72, 150
 63, 204,  70,  71
 64, 124,  17,  18
 65, 201, 151, 150
 66, 100,  19,  20
 67, 122,  20,  21
 68, 101,  37,  38
 69, 104,  38,  39
 70, 102,  28,  29
 71, 113,  29,  30
 72, 103,  39,  40
 73, 126,  43, 125
 74, 198, 195, 103
 75, 104, 101,  38
 76, 130,  51, 129
 77, 105,  36,  37
 78, 129,  52, 128
 79, 106,  35,  36
 80, 128,  53, 127
 81, 107,  34,  35
 82, 127,   4, 111
 83, 108,  33,  34
 84, 234, 227, 223
 85, 109,  32,  33
 86, 142,  55, 141
 87, 110,  31,  32
 88, 111,   4,  54
 89, 142,  54,  55
 90, 141,  56, 140
 91, 112,  30,  31
 92, 113, 102,  29
 93, 113,  30, 112
 94, 138,  59, 137
 95, 114,  27,  28
 96, 136,  61, 135
 97, 115,  26,  27
 98, 135,   5, 119
 99, 116,  25,  26
100, 155, 154, 135
101, 117,  24,  25
102, 235, 209, 228
103, 118,  23,  24
104, 119,   5,  62
105, 149,  62,  63
106, 120,  22,  23
107, 228, 209, 218
108, 167, 166, 148
109, 121,  21,  22
110, 168, 146, 165
111, 122, 100,  20
112, 144,  68, 143
113, 123,  18,  19
114, 124,  99,  17
115, 124,  18, 123
116, 125,  43,  44
117, 171, 133, 132
118, 198, 126, 195
119, 126,  42,  43
120, 194, 107, 174
121, 127,  53,   4
122, 194, 181, 108
123, 128,  52,  53
124, 229, 208, 216
125, 129,  51,  52
126, 247, 226, 246
127, 130,  50,  51
128, 172, 131, 160
129, 131,  49,  50
130, 176, 175, 101
131, 132,  48,  49
132, 203, 134, 133
133, 133,  47,  48
134, 134,  46,  47
135, 134,  47, 133
136, 211, 154, 209
137, 135,  61,   5
138, 212, 161, 211
139, 136,  60,  61
140, 237, 213, 212
141, 137,  59,  60
142, 230, 214, 210
143, 138,  58,  59
144, 188, 187, 102
145, 139,  57,  58
146, 231, 214, 230
147, 140,  56,  57
148, 169, 141, 156
149, 141,  55,  56
150, 190, 110, 180
151, 142, 111,  54
152, 248, 177, 245
153, 143,  68,  69
154, 248, 178, 177
155, 144,  67,  68
156, 248, 245, 225
157, 145,  66,  67
158, 191, 179, 100
159, 146,  65,  66
160, 220, 219, 166
161, 147,  64,  65
162, 183, 118, 182
163, 148,  63,  64
164, 193, 192, 121
165, 149, 119,  62
166, 150,  72,  73
167, 178,  99, 124
168, 204, 151, 202
169, 151,  71,  72
170, 190, 189, 112
171, 152, 111, 142
172, 181, 180, 109
173, 153, 127, 111
174, 155, 135, 119
175, 184, 182, 117
176, 170, 119, 149
177, 218, 209, 155
178, 164, 140, 139
179, 189, 188, 113
180, 202, 157, 144
181, 179, 177, 123
182, 173, 158, 128
183, 216, 208, 159
184, 232, 208, 229
185, 159, 130, 129
186, 246, 226, 217
187, 160, 131, 130
188, 185, 184, 116
189, 161, 137, 136
190, 186, 185, 115
191, 162, 138, 137
192, 187, 186, 114
193, 163, 139, 138
194, 164, 156, 140
195, 164, 139, 163
196, 221, 220, 167
197, 165, 146, 145
198, 167, 148, 147
199, 193, 120, 183
200, 168, 167, 147
201, 192, 191, 122
202, 168, 147, 146
203, 245, 222, 225
204, 233, 207, 215
205, 169, 152, 142
206, 170, 155, 119
207, 170, 149, 166
208, 247, 195, 200
209, 205, 203, 171
210, 172, 132, 131
211, 232, 217, 208
212, 173, 128, 127
213, 239, 234, 206
214, 174, 107, 106
215, 196, 106, 105
216, 175, 105, 101
217, 176, 101, 104
218, 195, 176, 104
219, 246, 217, 232
220, 177, 124, 123
221, 179, 123, 100
222, 197, 178, 150
223, 178, 124, 177
224, 191, 100, 122
225, 245, 240, 222
226, 180, 110, 109
227, 181, 109, 108
228, 194, 108, 107
229, 223, 153, 206
230, 182, 118, 117
231, 184, 117, 116
232, 219, 218, 170
233, 183, 120, 118
234, 185, 116, 115
235, 235, 211, 209
236, 186, 115, 114
237, 236, 212, 211
238, 187, 114, 102
239, 238, 213, 237
240, 188, 102, 113
241, 238, 187, 230
242, 189, 113, 112
243, 214, 164, 210
244, 190, 112, 110
245, 215, 156, 214
246, 239, 206, 207
247, 207, 206, 152
248, 192, 122, 121
249, 240, 221, 222
250, 193, 121, 120
251, 244, 242, 220
252, 241, 228, 218
253, 242, 241, 219
254, 243, 216, 224
255, 224, 173, 223
256, 195, 104, 103
257, 200, 195, 126
258, 196, 174, 106
259, 196, 105, 175
260, 197,  73,  74
261, 197,  99, 178
262, 198, 103,  41
263, 198,  42, 126
264, 199, 125,  44
265, 199,  44,  45
266, 200, 126, 125
267, 205, 200, 203
268, 249, 201, 248
269, 201, 150, 178
270, 202, 144, 143
271, 202, 151, 201
272, 203, 125, 199
273, 203, 133, 171
274, 204, 143,  70
275, 204,  71, 151
276, 226, 171, 172
277, 247, 205, 226
278, 206, 153, 152
279, 207, 152, 169
280, 215, 169, 156
281, 239, 207, 233
282, 208, 160, 159
283, 216, 159, 158
284, 209, 154, 155
285, 218, 155, 170
286, 210, 164, 163
287, 213, 163, 162
288, 236, 211, 235
289, 211, 161, 154
290, 237, 212, 236
291, 212, 162, 161
292, 213, 210, 163
293, 213, 162, 212
294, 231, 215, 214
295, 214, 156, 164
296, 233, 215, 231
297, 215, 207, 169
298, 224, 158, 173
299, 243, 229, 216
300, 217, 172, 160
301, 217, 160, 208
302, 219, 170, 166
303, 241, 218, 219
304, 220, 166, 167
305, 242, 219, 220
306, 221, 167, 168
307, 244, 220, 221
308, 222, 221, 168
309, 244, 221, 240
310, 222, 168, 165
311, 225, 222, 165
312, 227, 224, 223
313, 223, 173, 153
314, 243, 224, 227
315, 224, 216, 158
316, 225, 165, 157
317, 249, 248, 225
318, 226, 205, 171
319, 226, 172, 217
320, 227, 181, 194
321, 243, 227, 194
322, 228, 183, 182
323, 235, 228, 182
324, 229, 174, 196
325, 232, 229, 196
326, 230, 187, 188
327, 231, 230, 188
328, 231, 188, 189
329, 233, 231, 189
330, 232, 196, 175
331, 246, 232, 175
332, 233, 189, 190
333, 239, 233, 190
334, 234, 180, 181
335, 234, 181, 227
336, 235, 182, 184
337, 236, 235, 184
338, 236, 184, 185
339, 237, 236, 185
340, 237, 185, 186
341, 238, 237, 186
342, 238, 210, 213
343, 238, 186, 187
344, 239, 190, 180
345, 239, 180, 234
346, 240, 179, 191
347, 244, 240, 191
348, 241, 193, 183
349, 241, 183, 228
350, 242, 192, 193
351, 242, 193, 241
352, 243, 194, 174
353, 243, 174, 229
354, 244, 191, 192
355, 244, 192, 242
356, 245, 177, 179
357, 245, 179, 240
358, 246, 175, 176
359, 247, 246, 176
360, 247, 176, 195
361, 247, 200, 205
362, 249, 225, 157
363, 248, 201, 178
364, 249, 157, 202
365, 249, 202, 201
366,  9,  4,  8
367, 54,  9, 10
368, 60, 15, 61
369, 55, 10, 14
370, 55, 14, 56
