 1,  80,  71,  31
  2,  30,   4,   5
  3,   5,  29,  30
  4,  20,  11,  19
  5,  51,  27,  10
  6,  28,  10,  27
  7,  71,  10,  28
  8,  72,  36,  37
  9,  81,  77,   7
 10,  78,   8,  41
 11,  78,   1,  70
 12,  70,   1,  12
 13,  70,  64,  63
 14,  69,  19,  11
 15,  67,  14,  15
 16,  67,  65,  60
 17,  66,  65,  16
 18,  66,  58,  59
 19,  69,  58,  66
 20,  69,  17,  18
 21,  19,  18,   2
 22,  57,  21,  56
 23,  55,  22,  23
 24,  54,  24,  53
 25,  53,  25,  52
 26,  52,  25,  26
 27,  52,  26,  51
 28,  51,  26,  27
 29,  71,  29,   6
 30,   6,  29,   5
 31,  30,   3,   4
 32,  77,   9,  42
 33,  77,  42,  75
 34,  75,  43,  73
 35,  74,  73,  44
 36,  74,  72,  37
 37,  76,  35,  36
 38,  79,  34,  35
 39,  82,  33,  34
 40,  83,  50,  10
 41,  80,  31,  32
 42,  83,  10,  80
 43,  83,  49,  50
 44,  82,  48,  49
 45,  79,  47,  48
 46,  76,  46,  47
 47,  72,  45,  46
 48,  74,  44,  45
 49,  73,  43,  44
 50,  75,  42,  43
 51,  53,  24,  25
 52,  54,  23,  24
 53,  55,  23,  54
 54,  56,  22,  55
 55,  22,  56,  21
 56,  21,  57,  20
 57,  57,  11,  20
 58,  65,  15,  16
 59,  68,  67,  61
 60,  68,  62,  64
 61,  68,  64,  13
 62,  64,  12,  13
 63,  70,  63,   9
 64,  68,  13,  14
 65,  64,  62,  63
 66,  66,  16,  17
 67,  65,  59,  60
 68,  69,  66,  17
 69,  66,  59,  65
 70,  67,  15,  65
 71,  67,  60,  61
 72,  68,  14,  67
 73,  68,  61,  62
 74,  69,  18,  19
 75,  69,  11,  58
 76,  78,  70,   9
 77,  70,  12,  64
 78,  71,  28,  29
 79,  71,   6,  31
 80,  76,  72,  46
 81,  74,  37,  38
 82,  73,  38,  39
 83,  75,  73,  39
 84,  74,  38,  73
 85,  74,  45,  72
 86,  75,  39,  40
 87,  77,  75,  40
 88,  79,  76,  47
 89,  76,  36,  72
 90,  77,  40,   7
 91,  81,   7,   8
 92,  81,  78,   9
 93,  78,  41,   1
 94,  82,  79,  48
 95,  79,  35,  76
 96,  83,  80,  32
 97,  80,  10,  71
 98,  81,   8,  78
 99,  81,   9,  77
100,  82,  49,  33
101,  82,  34,  79
102,  83,  32,  33
103,  83,  33,  49
104,  52,  50,  49
105,  84,  53,  52
106,  85,  84,  48
107,  86,  85,  47
108, 100,  97,  96
109,  87,  86,  46
110,  92,  60,  59
111,  93,  61,  60
112,  90,  42,  63
113,  42,   9,  63
114,  57,  58,  11
115,  91,  58,  57
116, 100,  98,  97
117,  98,  93,  92
118,  90,  61,  89
119,  90,  63,  62
120,  51,  10,  50
121,  52,  51,  50
122,  84,  52,  49
123,  94,  53,  84
124,  95,  54,  94
125,  96,  55,  95
126,  99,  57,  56
127,  84,  49,  48
128,  85,  48,  47
129,  86,  47,  46
130,  95,  85,  86
131,  87,  46,  45
132,  95,  94,  85
133,  88,  87,  45
134,  97,  92,  91
135,  88,  45,  44
136,  89,  88,  44
137,  89,  44,  43
138,  90,  89,  43
139,  90,  43,  42
140,  90,  62,  61
141,  91,  59,  58
142, 100,  95,  86
143,  93,  88,  89
144,  92,  59,  91
145,  93,  89,  61
146,  93,  60,  92
147,  94,  54,  53
148,  94,  84,  85
149, 100,  96,  95
150,  95,  55,  54
151,  99,  96,  97
152,  96,  56,  55
153,  98,  87,  88
154,  99,  97,  91
155,  98,  88,  93
156,  98,  92,  97
157,  99,  91,  57
158,  99,  56,  96
159, 100,  86,  87
160, 100,  87,  98
